#{"t_start": 1762829267.2633152, "env_id": null}
r,l,t
39.536409,58,0.390296
45.076144,58,0.414293
41.539531,58,0.436292
43.272274,58,0.455292
39.565769,58,0.474293
40.761299,58,0.494293
42.402879,58,0.541292
42.553396,58,0.560293
42.002542,58,0.578292
37.16508,58,0.59631
40.64857,58,0.618292
45.092685,58,0.637292
43.708341,58,0.654292
40.321136,58,0.686803
43.134281,58,0.705802
37.856143,58,0.725802
38.276173,58,0.743802
40.645767,58,0.763752
41.11248,58,0.781751
46.426821,58,0.79875
40.494234,58,0.831362
44.369911,58,0.851883
43.277379,58,0.870883
43.027093,58,0.889884
38.876906,58,0.906883
38.823147,58,0.927884
42.336598,58,0.945884
43.156979,58,0.977884
44.288019,58,0.996984
43.062146,58,1.014884
40.575505,58,1.034978
45.266776,58,1.055883
42.166928,58,1.073884
46.137073,58,1.092884
39.240112,58,1.126884
39.877257,58,1.145885
41.172325,58,1.168884
42.336842,58,1.185883
39.747052,58,1.203883
37.432802,58,1.222884
43.653495,58,1.240884
41.011741,58,1.273884
39.010744,58,1.291886
44.529058,58,1.309883
44.857555,58,1.329884
39.967443,58,1.349415
39.974639,58,1.369419
40.52315,58,1.405476
40.479913,58,1.423419
42.094127,58,1.443419
41.139925,58,1.464419
44.845222,58,1.482419
42.664471,58,1.50242
41.653969,58,1.522419
38.307431,58,1.556419
42.304432,58,1.576466
39.468727,58,1.598421
42.968647,58,1.617419
41.786269,58,1.637421
38.825593,58,1.654418
39.678686,58,1.672927
45.048841,58,1.708927
42.513353,58,1.729924
43.3776,58,1.747924
42.944485,58,1.765453
42.123666,58,1.783452
40.029139,58,1.802453
42.995891,58,1.820981
